latitude,longitude,rainfall_mm_hr,reliability_flag
17.55,80.05,0.0,0
17.65,80.05,0.0,0
17.75,80.05,0.0,0
17.85,80.05,0.0,0
17.95,80.05,0.0,0
18.05,80.05,0.0,0
18.15,80.05,0.0,0
18.25,80.05,0.0,0
18.35,80.05,0.0,0
18.45,80.05,0.0,0
18.55,80.05,0.0,0
18.65,80.05,0.3055844,0
18.75,80.05,0.36378843,0
18.85,80.05,0.5034881,0
18.95,80.05,0.546503,0
19.05,80.05,0.0,0
19.15,80.05,0.0,0
19.25,80.05,0.85423136,0
19.35,80.05,1.6556647,0
19.45,80.05,3.3209555,0
19.55,80.05,5.5036235,0
19.65,80.05,5.2871313,0
19.75,80.05,4.887828,0
19.85,80.05,3.3678653,0
19.95,80.05,2.4031081,0
20.05,80.05,1.1024159,0
20.15,80.05,0.49221492,0
20.25,80.05,0.45950335,0
20.35,80.05,0.0,0
20.45,80.05,0.0,0
20.55,80.05,0.0,0
20.65,80.05,0.1401899,0
20.75,80.05,0.13950527,0
20.85,80.05,0.09717082,0
20.95,80.05,0.09621472,0
21.05,80.05,0.10788522,0
21.15,80.05,0.13868324,0
21.25,80.05,0.25816727,0
21.35,80.05,0.8753128,0
21.45,80.05,0.0,0
21.55,80.05,0.0,0
21.65,80.05,0.0,0
21.75,80.05,0.0,0
21.85,80.05,0.0,0
21.95,80.05,0.0,0
22.05,80.05,0.0,0
22.15,80.05,0.0,0
22.25,80.05,0.0,0
22.35,80.05,0.0,0
22.45,80.05,0.0,0
22.55,80.05,0.0,0
22.65,80.05,0.0,0
22.75,80.05,0.25659037,0
17.55,80.15,0.0,0
17.65,80.15,0.0,0
17.75,80.15,0.0,0
17.85,80.15,0.0,0
17.95,80.15,0.0,0
18.05,80.15,0.0,0
18.15,80.15,0.0,0
18.25,80.15,0.0,0
18.35,80.15,0.0,0
18.45,80.15,0.0,0
18.55,80.15,0.0,0
18.65,80.15,0.0,0
18.75,80.15,0.0,0
18.85,80.15,0.6260284,0
18.95,80.15,0.7082839,0
19.05,80.15,0.0,0
19.15,80.15,0.0,0
19.25,80.15,0.0,0
19.35,80.15,1.7898848,0
19.45,80.15,4.5385895,0
19.55,80.15,5.739501,0
19.65,80.15,5.689552,0
19.75,80.15,4.8340898,0
19.85,80.15,2.9242563,0
19.95,80.15,1.6236869,0
20.05,80.15,0.9949437,0
20.15,80.15,0.5857833,0
20.25,80.15,0.43125585,0
20.35,80.15,0.0,0
20.45,80.15,0.3424362,0
20.55,80.15,0.3992792,0
20.65,80.15,1.2802395,0
20.75,80.15,1.4408048,0
20.85,80.15,0.093876,0
20.95,80.15,0.083861046,0
21.05,80.15,0.10693221,0
21.15,80.15,0.91154844,0
21.25,80.15,1.8907549,0
21.35,80.15,0.0,0
21.45,80.15,0.0,0
21.55,80.15,0.0,0
21.65,80.15,0.0,0
21.75,80.15,0.0,0
21.85,80.15,0.0,0
21.95,80.15,0.0,0
22.05,80.15,0.0,0
22.15,80.15,0.0,0
22.25,80.15,0.0,0
22.35,80.15,0.0,0
22.45,80.15,0.0,0
22.55,80.15,0.0,0
22.65,80.15,0.0,0
22.75,80.15,0.0,0
17.55,80.25,0.0,0
17.65,80.25,0.0,0
17.75,80.25,0.0,0
17.85,80.25,0.0,0
17.95,80.25,0.0,0
18.05,80.25,0.0,0
18.15,80.25,0.0,0
18.25,80.25,0.0,0
18.35,80.25,0.0,0
18.45,80.25,0.0,0
18.55,80.25,0.0,0
18.65,80.25,0.0,0
18.75,80.25,0.0,0
18.85,80.25,0.0,0
18.95,80.25,0.0,0
19.05,80.25,0.0,0
19.15,80.25,1.6706654,0
19.25,80.25,1.6168503,0
19.35,80.25,2.5250022,0
19.45,80.25,4.750572,0
19.55,80.25,5.427984,0
19.65,80.25,5.063797,0
19.75,80.25,4.2000523,0
19.85,80.25,2.1470766,0
19.95,80.25,0.30983984,0
20.05,80.25,0.17479767,0
20.15,80.25,0.0,0
20.25,80.25,0.0,0
20.35,80.25,0.14785726,0
